Position Surname Number
579= PRATT 66
579= PRICE 66
579= YULE 66
586= CUMMINGS 65
586= HODGE 65
586= MCMASTER 65
589= BAKER 64
589= EWEN 64
589= HERD 64
589= HOLLAND 64
589= MCAULEY 64
589= MCGUIGAN 64
589= MCLELLAND 64
589= NIVEN 64
589= PURDIE 64
598= BISSET 63
598= CROSSAN 63
598= LAWRENCE 63
598= MAGUIRE 63
598= MCINALLY 63
598= MCWILLIAM 63
598= O'NEIL 63
605= AGNEW 62
605= CARGILL 62
605= COPLAND 62
605= DEMPSEY 62
605= GOODWIN 62
605= HAMILL 62
605= IRELAND 62
605= JAMES 62
605= LAFFERTY 62
605= MUTCH 62
615= BARRETT 61
615= CORBETT 61
615= MCLAUCHLAN 61
615= NEWLANDS 61
615= PRESTON 61
615= TULLOCH 61
621= BRUNTON 60
621= DILLON 60
621= DIXON 60
621= FAIRBAIRN 60
621= LENNOX 60
621= MACPHEE 60
621= MCLAUGHLAN 60
621= POTTER 60
621= PURVES 60
630= ATKINSON 59
630= CROSS 59
630= DOLAN 59
630= DUGUID 59
630= LYONS 59
630= MATTHEWS 59
630= MULHOLLAND 59
630= RATTRAY 59
638= DOBBIE 58
638= MCADAM 58
638= MCGARRY 58
638= MCKELLAR 58
638= MCKNIGHT 58
638= MCVEY 58
644= BIRRELL 57
644= CARTER 57
644= GRIFFIN 57
644= LORIMER 57
644= LYALL 57
644= MCCUTCHEON 57
644= MCGINLEY 57
644= MCRAE 57
644= MORRICE 57
644= SAUNDERS 57
644= SMYTH 57
655= BEGG 56
655= CASEY 56
655= GLASS 56
655= HARKINS 56
655= HARKNESS 56
655= MACARTHUR 56
655= MCBAIN 56
655= SHARKEY 56
655= SMILLIE 56
655= TELFER 56
655= WATTERS 56
666= DARROCH 55
666= KEIR 55
666= MCCONNACHIE 55
666= MCQUADE 55
666= NESS 55
666= THORBURN 55
666= WILL 55
673= AIRD 54
673= BROOKS 54
673= BURT 54
673= ERSKINE 54
673= HARLEY 54
673= HYSLOP 54
673= KENNY 54
673= MADDEN 54
673= MCCUE 54
673= MCGEE 54
673= MOWAT 54
673= NIXON 54
673= OWENS 54
673= SANDERSON 54
673= TORRANCE 54
673= VALENTINE 54
689= BORLAND 53
689= BRANNAN 53
689= BROWNLIE 53
689= CLARKSON 53
689= COUPER 53
689= FOTHERINGHAM 53
689= GILBERT 53
689= JARVIE 53
689= MASSIE 53
689= MCCAIG 53
689= MCIVOR 53
689= MCLUCKIE 53
689= MEECHAN 53
689= O'HARE 53
689= TIERNEY 53
689= WELLS 53
705= BENNIE 52
705= BIRNIE 52
705= BOYCE 52
705= CARLIN 52
705= DINGWALL 52
705= GILFILLAN 52
705= GRIERSON 52
705= HASTINGS 52
705= LENNON 52
705= MCKENDRICK 52
705= RILEY 52
705= ROGERS 52
705= SANGSTER 52
705= SAVAGE 52
705= SINGH 52
720= BARNETT 51
720= FAIRLEY 51
720= PORTEOUS 51
720= STODDART 51
720= WOTHERSPOON 51
725= BROGAN 50
725= CROSBIE 50
725= DOUGAN 50
725= DYER 50
725= FLETT 50
725= HISLOP 50
725= HUTCHESON 50
725= IMRIE 50
725= MATTHEW 50
725= MAY 50
725= MCNAUGHT 50
725= MORROW 50
725= PHILP 50
725= SOUTER 50
725= STEVENS 50
725= STRANG 50
725= TOWNSLEY 50
742= AULD 49
742= CHAMBERS 49
742= COLEMAN 49
742= COPELAND 49
742= FARMER 49
742= FULLERTON 49
742= HYND 49
742= MACK 49
742= MYLES 49
742= PETERS 49
742= RAEBURN 49
742= SAMSON 49
742= STOTT 49
742= STRUTHERS 49
742= TOUGH 49
742= WISEMAN 49
758= BLAKE 48
758= DORAN 48
758= FRIEL 48
758= LAMBIE 48
758= MCNAIR 48
758= ROWAN 48
758= SCOBIE 48
758= SCULLION 48
766= ARMOUR 47
766= CHEYNE 47
766= COULTER 47
766= DALGLEISH 47
766= DALZIEL 47
766= DEAN 47
766= GAULD 47
766= GRACIE 47
766= LEASK 47
766= MACLACHLAN 47
766= MICHIE 47
766= QUIGLEY 47
766= SWANSON 47
766= SYME 47
766= VEITCH 47
781= BIRD 46
781= HEALY 46
781= KEARNEY 46
781= LECKIE 46
781= LEITH 46
781= LEONARD 46
781= LIVINGSTON 46
781= MACGILLIVRAY 46
781= MCCARTHY 46
781= MCCUSKER 46
781= MEARNS 46
781= MEEK 46
781= PAGE 46
781= QUEEN 46
781= TENNANT 46
781= WALLS 46
797= HEWITT 45
797= KIRKLAND 45
797= LOUDON 45
797= MCNULTY 45
797= MCSHANE 45
797= MCWILLIAMS 45
797= MELROSE 45
797= MORE 45
797= NAIRN 45
797= NOLAN 45
797= SULLIVAN 45
797= WARREN 45
809= ADDISON 44
809= BURTON 44
809= EADIE 44
809= FAULDS 44
809= FITZSIMMONS 44
809= GEORGE 44
809= HADDOW 44
809= HANLON 44
809= LAMOND 44
809= LAVERY 44
809= LEISHMAN 44
809= MAITLAND 44
809= MCCOURT 44
809= MCEWEN 44
809= MCGHIE 44
809= MCKILLOP 44
809= MELVIN 44
809= NEWTON 44
809= OGG 44
809= OSBORNE 44
809= PAXTON 44
809= SHORT 44
809= YATES 44
832= ADAIR 43
832= BISHOP 43
832= COSGROVE 43
832= DOBSON 43
832= DONNACHIE 43
832= FARQUHARSON 43
832= FEENEY 43
832= FERRIE 43
832= FRENCH 43
832= GALL 43
832= KNOWLES 43
832= LONG 43
832= MCCUBBIN 43
832= MCLAY 43
832= MILTON 43
832= NICHOL 43
832= PROCTOR 43
832= PRYDE 43
832= RALSTON 43
832= STENHOUSE 43
852= CLELAND 42
852= DARLING 42
852= DIAMOND 42
852= FENTON 42
852= FERRIER 42
852= GAULT 42
852= GAVIN 42
852= HEGGIE 42
852= MCTAGGART 42
852= PROVAN 42
852= RENDALL 42
852= ROLLO 42
852= SOMMERVILLE 42
852= TONNER 42
866= CORRIGAN 41
866= DOWIE 41
866= FAIRLIE 41
866= FLANAGAN 41
866= GAFFNEY 41
866= GLOVER 41
866= GREER 41
866= LAMBERT 41
866= LYLE 41
866= MCGOLDRICK 41
866= MOYES 41
866= PETTIGREW 41
866= SHANNON 41
866= SOUTAR 41
866= THORNTON 41
881= CALDERWOOD 40
881= CANNING 40
881= HAGGARTY 40
881= HENDRIE 40
881= JORDAN 40
881= KEDDIE 40
881= LINTON 40
881= MACCALLUM 40
881= MCCRINDLE 40
881= MCGLYNN 40
881= MCILROY 40
881= MCKINNEY 40
881= MOODIE 40
881= MULLIGAN 40
881= PERRY 40
881= REDPATH 40
881= SHERIDAN 40
881= STORRIE 40
881= TELFORD 40
900= ALI 39
900= BENSON 39
900= BRYDEN 39
900= CAREY 39
900= CLELLAND 39
900= COWE 39
900= DAY 39
900= DUNSMORE 39
900= GIRVAN 39
900= GRIFFITHS 39
900= HOPKINS 39
900= LYNN 39
900= MCCLYMONT 39
900= MCGINTY 39
900= MCGRORY 39
900= MCGURK 39
900= MCKEAN 39
900= TAGGART 39
900= THAIN 39
919= AUSTIN 38
919= BONNAR 38
919= GOODALL 38
919= GORMLEY 38
919= HUNT 38
919= KINNEAR 38
919= LOGUE 38
919= MCANDREW 38
919= MCWHINNIE 38
919= RANKINE 38
919= ROGERSON 38
919= STURROCK 38
919= WEBB 38
919= WIGHT 38
933= BONE 37
933= CONROY 37
933= DALRYMPLE 37
933= DENHOLM 37
933= DOUGALL 37
933= GOWANS 37
933= HAYES 37
933= LIDDLE 37
933= MACINTOSH 37
933= MACNEIL 37
933= MAGEE 37
933= MCARDLE 37
933= MCGINLAY 37
933= MCGINN 37
933= MCKELVIE 37
933= MONTEITH 37
933= SHIELS 37
933= SPALDING 37
933= WINTON 37
952= BURNSIDE 36
952= FOLEY 36
952= JOLLY 36
952= JOYCE 36
952= KILGOUR 36
952= MACPHAIL 36
952= MCCONVILLE 36
